chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,mfcc,rms,zero_crossing_rate,target
0.53137654,1621.7827032888692,1917.4426092980634,3912.632042253521,-23.06793,0.008164504,0.09444459727112677,ok
0.4753946,1618.0781981372136,1717.142263647303,2863.677536231884,-11.207897,0.04878845,0.13488592617753623,ok
0.6622009,2902.617653308517,3880.937931286306,7189.791636455917,1.1877954,0.13279007,0.038794001957656615,ok
0.44149786,3146.4782410298617,2828.713422970738,5250.911458333333,-27.311464,0.008206896,0.10458147967303241,ok
0.17078783,1537.1181552582095,1845.795155856859,3415.870949074074,2.883521,0.19015874,0.09456741898148148,ok
0.13528654,1235.602265303669,680.6623454528154,1923.0692028724018,-34.386414,0.0048620277,0.05210062427829099,ok
0.599782,1350.9246792883894,1606.3566988825073,2670.1962809917354,-19.892458,0.003790448,0.06553460743801653,ok
0.51613146,3279.4158739585255,2379.5761271263073,6198.381696428572,-25.256845,0.00083543867,0.24759347098214285,ok
0.6622009,2902.617653308517,3880.937931286306,7189.791636455917,1.1877954,0.13279007,0.038794001957656615,ok
0.512844,5270.6711321930115,4141.865488196151,8309.318354843388,-12.013494,0.020587523,0.21740524398201855,ok
0.70121855,848.8867847274587,1862.9640879829826,1231.280517578125,-0.15517901,0.09279205,0.011179606119791666,ok
0.512844,5270.6711321930115,4141.865488196151,8309.318354843388,-12.013494,0.020587523,0.21740524398201855,ok
0.6769011,414.5052901671209,1066.5575786739664,646.8434651692709,-1.2853012,0.07254597,0.008002387152777778,ok
0.7930961,1743.3358248284699,4172.175818206449,3212.6939530162413,1.1554314,0.15627128,0.008099124492459397,ok
0.5942531,2058.9938143001673,1753.768197046365,3967.3208841463415,-17.219543,0.019995198,0.19622356135670732,ok
0.4297262,6449.256601176329,2953.641692666016,8812.675713275812,-28.509956,0.0335842,0.2668541998984919,ok
0.7761505,3735.217159268688,4659.853860076155,9148.171997070312,-3.8281856,0.032896906,0.044005217375578706,ok
0.4568951,3051.5421298744486,2690.957368370369,5795.129536144142,-14.872214,0.014383742,0.10427353719547564,ok
0.4871868,1256.7157738095434,1165.3761414888636,2018.7904094827586,-0.41958228,0.114681505,0.09557263604525862,ok
0.43676412,2469.2043392908495,1895.016786061891,4620.8721187943265,-7.3981514,0.043738786,0.28083790447695034,ok
0.6650944,3345.3564640942436,4433.801884153879,8346.23955463312,-1.8172181,0.04739358,0.0530255311049884,ok
0.4701439,2689.25038807527,1961.1753476086635,5100.6116365131575,-8.191961,0.08680379,0.18466668379934212,ok
0.4051557,2980.5130114398366,1847.9527949022843,5215.262276785715,-4.0979896,0.1206733,0.23289620535714287,ok
0.7438479,293.93354152594253,761.0074851304473,430.4148356119792,6.776871,0.45975608,0.005918149594907407,ok
0.77152145,2116.2624450492663,4845.628450017361,4456.473748368619,3.0437703,0.19178817,0.007545134860788863,ok
0.7266689,4016.0878342115234,4518.624856070998,9867.652783316415,-1.9494592,0.051753934,0.06428092372389792,ok
0.5998055,848.6274467532842,1542.8465452169785,1294.384765625,-0.20376791,0.10509767,0.016312210648148147,ok
0.187849,1679.31452284653,1623.7297599123747,2196.5596762048194,-9.394787,0.1990426,0.15987975338855423,ok
0.5688793,2028.9670285301645,1792.6987114925869,3885.1207386363635,-24.94386,0.003888811,0.2095669833096591,ok
0.5125532,2836.895098562985,2001.9839091135855,5329.107782643312,-4.1495023,0.082776055,0.21642677647292993,ok
0.7368106,1314.0182731560753,2713.168442444697,2771.8017578125,-6.011395,0.050998632,0.008750632957175927,ok
0.6288038,1423.0192761914802,2224.8784205512334,2530.0264646171695,-8.798003,0.020503378,0.02621311267401392,ok
0.3617417,2066.962023310639,1898.1998115441024,3230.1303518343966,-3.4364648,0.117791034,0.09401736513921113,ok
0.75309336,517.0340598086065,1813.679987865125,464.8081461588542,-4.761234,0.037576303,0.004958541304976852,ok
0.79456246,2025.201023909783,4789.111338888053,3856.5417225565543,4.0927463,0.25645214,0.006253625290023202,ok
0.60129595,2153.336675809213,1414.2189688684766,3690.2691566780823,-20.37028,0.087406,0.17527290239726026,ok
0.4177975,7737.119366229562,3720.0315021723945,11697.513834635416,-31.088036,0.013077972,0.3375074598524306,ok
0.74625325,292.2868421473676,983.8558263770179,311.7828369140625,7.1446285,0.40429428,0.004428439670138889,ok
0.20163141,2873.463504496178,1068.3953010243886,3275.0,-16.47804,0.083464555,0.279599609375,ok
0.4792101,1422.148664777554,1389.5629259280392,2542.1463815789475,-2.7486484,0.15693924,0.09121436403508772,ok
0.3617417,2066.962023310639,1898.1998115441024,3230.1303518343966,-3.4364648,0.117791034,0.09401736513921113,ok
0.78032917,2238.297844890053,5015.665964358695,4956.683562028712,4.059558,0.24132068,0.008604399289443156,ok
0.53597313,1407.6969968279561,1821.2552856188183,2562.501132903132,0.6957092,0.070791535,0.037380138848607886,ok
0.42587805,2618.344096186844,1106.518161595624,3329.3805803571427,-9.796664,0.13531789,0.17520228794642856,ok
0.5998055,848.6274467532842,1542.8465452169785,1294.384765625,-0.20376791,0.10509767,0.016312210648148147,ok
0.60239106,1300.6454031595347,2718.945517312737,2209.266856415993,-5.0601845,0.09254554,0.017308611792725172,ok
0.60263366,1334.7107156518457,2358.1418151881426,2440.180460611979,-5.582887,0.088180505,0.026484736689814815,ok
0.7628771,2153.605109556149,4818.968023657737,4151.411710593097,4.9409432,0.20082565,0.009002048288863109,ok
